SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,FL,12,,,,,04000US12,Florida,15604649,7534587,913528,23910,149695,304898,310679,66279,54106,3961,1244177,57007,119271,378915,270398,125422,215788,77376,1202796,60764,103124,359307,236384,116742,217580,108895,2539646,116380,207312,771418,510895,221384,447056,265201,1634440,130989,132710,438334,316548,92404,287354,236101,8070062,866916,12990,105328,229952,338139,94028,79359,7120,1224768,34909,76298,289300,277254,156107,277405,113495,1224499,42151,73429,300772,257065,154773,256313,139996,2737328,110671,176266,804798,597345,305496,480584,262168,2016551,184186,188799,731408,392806,124516,236475,158361,13824205,6621059,94504,53969,102879,113788,118569,141228,150532,152088,1947974,401623,932602,555952,1167778,425992,170139,91442,7203146,103500,53139,106343,108935,97411,125325,140488,151568,2126278,487203,1037267,740892,1250777,506231,104602,63187,13824205,198004,3181,2496,8644,18980,38425,35382,50822,158400,68437,154286,215980,266553,291020,303656,3491793,582459,888826,1969869,1296844,2418555,932223,274741,154629,10984459,5296479,654401,1524819,1529849,1587410,5687980,614138,1700811,1800491,1572540,1929347,892342,188346,319958,250687,133351,1037005,184672,317258,334336,200739,37609,19101,4449,5702,5501,3449,18508,3586,5356,6357,3209,359731,159195,18622,27582,32644,80347,200536,31390,38201,42442,88503,6802,3054,288,800,1325,641,3748,449,1320,1369,610,301112,150531,46008,44211,36648,23664,150581,38980,40044,41711,29846,205145,100357,15443,24902,33523,26489,104788,13494,23288,38656,29350,8412052,4064576,362108,1156846,1223246,1322376,4347476,330614,1322269,1436693,1257900,3002679,1448084,356328,432033,361301,298422,1554595,335637,435847,425764,357347,3780148,1855351,446599,179286,25545,125780,17525,98463,885297,357576,56296,258963,53143,159319,523455,214628,26709,147212,56078,78828,1924797,582774,161810,78248,131498,75739,135479,947187,217550,135357,213422,190327,190531,394836,62524,52148,37923,159517,82724,4012326,153738,192338,123743,193092,295840,300048,24918,397512,944121,572107,142286,180919,128032,145503,218129,3780148,1193374,374303,914798,552329,745344,3159950,985739,290565,768272,482361,633013,334090,91903,44453,81542,48125,68067,6658,2297,855,1499,875,1132,168850,76526,26932,34399,10208,20785,1251,447,201,157,198,248,53510,16700,5949,15462,5356,10043,55839,19762,5348,13467,5206,12056,2580276,794135,232818,605327,408698,539298,655769,215847,65885,183653,81533,108851
40,FL,12,,,,,04001US12,Florida -- Urban,14238391,6828491,839131,20874,133083,275373,291926,62648,51374,3853,1142884,51534,102190,339316,250452,118755,206052,74585,1097382,54164,88150,321075,215744,109129,205194,103926,2277447,103120,177446,676839,456416,201170,415148,247308,1471647,118863,116111,386682,283033,83377,264983,218598,7409900,807882,11750,95813,210466,318135,88751,76113,6854,1141754,32316,69066,265752,256451,145835,263563,108771,1130167,39014,66461,274411,234453,142024,241304,132500,2484299,102952,156610,717483,539343,277990,447007,242914,1845798,174169,168346,661455,360463,114715,220366,146284,12591378,5989360,85380,49799,94590,97912,99962,117390,127595,138950,1723912,359124,846521,512431,1091377,398405,160523,85489,6602018,97335,50264,101809,99043,86742,108472,123529,141740,1919101,439005,951705,680564,1172240,472850,98465,59154,12591378,182715,3030,2357,8196,17768,35460,33252,47763,148636,60798,136157,186704,225862,251124,280690,3145547,497466,798129,1798226,1192995,2263617,871255,258988,144643,9913079,4753835,564415,1333152,1376637,1479631,5159244,550876,1514700,1628240,1465428,1819072,828986,169803,294357,237354,127472,990086,175929,302113,319474,192570,31211,15886,3608,4561,4835,2882,15325,2894,4491,5356,2584,345627,153579,17935,26574,31575,77495,192048,30198,36614,40412,84824,6210,2786,246,762,1202,576,3424,421,1161,1329,513,285720,141756,41652,42133,35237,22734,143964,35883,38658,40351,29072,190459,92532,13919,22373,31236,25004,97927,12733,21364,36112,27718,7418196,3565014,287729,977078,1079610,1220597,3853182,275527,1146101,1274269,1157285,2904989,1393211,335395,417067,349755,290994,1511778,324197,424145,413900,349536,3538503,1735794,425862,170870,24041,120464,16451,94036,826351,333625,52364,243022,48514,148826,483581,198194,24660,137095,50781,72851,1802709,553306,154069,73573,125611,70774,129279,882753,203814,124451,201127,174379,178982,366650,58056,47889,35343,147379,77983,3756408,145490,175440,116409,181624,278524,282572,23493,368710,890208,526454,134711,168814,121874,139282,202803,3538503,1118628,346978,862662,508278,701957,2945059,920498,266784,721201,441980,594596,320042,87547,42744,78900,45573,65278,5466,1898,694,1175,712,987,162319,73707,25685,33220,9860,19847,1089,375,147,128,191,248,51806,16057,5866,15213,5058,9612,52722,18546,5058,12825,4904,11389,2377882,732582,210788,561431,370251,502830,640530,211204,63964,179949,79186,106227
40,FL,12,,,,,04043US12,Florida -- Rural,1366258,706096,74397,3036,16612,29525,18753,3631,2732,108,101293,5473,17081,39599,19946,6667,9736,2791,105414,6600,14974,38232,20640,7613,12386,4969,262199,13260,29866,94579,54479,20214,31908,17893,162793,12126,16599,51652,33515,9027,22371,17503,660162,59034,1240,9515,19486,20004,5277,3246,266,83014,2593,7232,23548,20803,10272,13842,4724,94332,3137,6968,26361,22612,12749,15009,7496,253029,7719,19656,87315,58002,27506,33577,19254,170753,10017,20453,69953,32343,9801,16109,12077,1232827,631699,9124,4170,8289,15876,18607,23838,22937,13138,224062,42499,86081,43521,76401,27587,9616,5953,601128,6165,2875,4534,9892,10669,16853,16959,9828,207177,48198,85562,60328,78537,33381,6137,4033,1232827,15289,151,139,448,1212,2965,2130,3059,9764,7639,18129,29276,40691,39896,22966,346246,84993,90697,171643,103849,154938,60968,15753,9986,1071380,542644,89986,191667,153212,107779,528736,63262,186111,172251,107112,110275,63356,18543,25601,13333,5879,46919,8743,15145,14862,8169,6398,3215,841,1141,666,567,3183,692,865,1001,625,14104,5616,687,1008,1069,2852,8488,1192,1587,2030,3679,592,268,42,38,123,65,324,28,159,40,97,15392,8775,4356,2078,1411,930,6617,3097,1386,1360,774,14686,7825,1524,2529,2287,1485,6861,761,1924,2544,1632,993856,499562,74379,179768,143636,101779,494294,55087,176168,162424,100615,97690,54873,20933,14966,11546,7428,42817,11440,11702,11864,7811,241645,119557,20737,8416,1504,5316,1074,4427,58946,23951,3932,15941,4629,10493,39874,16434,2049,10117,5297,5977,122088,29468,7741,4675,5887,4965,6200,64434,13736,10906,12295,15948,11549,28186,4468,4259,2580,12138,4741,255918,8248,16898,7334,11468,17316,17476,1425,28802,53913,45653,7575,12105,6158,6221,15326,241645,74746,27325,52136,44051,43387,214891,65241,23781,47071,40381,38417,14048,4356,1709,2642,2552,2789,1192,399,161,324,163,145,6531,2819,1247,1179,348,938,162,72,54,29,7,0,1704,643,83,249,298,431,3117,1216,290,642,302,667,202394,61553,22030,43896,38447,36468,15239,4643,1921,3704,2347,2624
40,FL,12,,,,,040A0US12,Florida -- In metropolitan or micropolitan statistical area,15325634,7380124,894668,23260,144037,297406,306570,65515,53954,3926,1216582,55377,112466,367669,265302,124147,214655,76966,1176232,59226,97452,348602,231014,115440,216195,108303,2487610,112858,198773,749261,500834,218576,443664,263644,1605032,127849,128928,428155,310730,90705,284447,234218,7945510,855049,12768,103009,226306,333857,93198,78835,7076,1207970,34388,74340,283410,272751,154203,275867,113011,1206782,41620,71714,295318,251915,152390,254544,139281,2692663,108883,171823,787044,587026,301125,476593,260169,1983046,181249,183217,717901,386788,122772,234278,156841,13575917,6485456,92408,53023,101135,108744,112449,133245,142558,149367,1893687,392597,915283,548868,1158961,422924,169366,90841,7090461,101947,52508,105382,106303,94585,120684,136249,149576,2083673,477745,1020735,730490,1241282,502378,104103,62821,13575917,194355,3174,2472,8553,18718,37735,34879,49797,156720,66015,149032,207034,253929,278807,298943,3417824,559536,870342,1936018,1279358,2400243,925302,273469,153662,10787378,5192730,631178,1483589,1502217,1575746,5594648,599069,1664908,1770210,1560461,1886665,865643,178567,308597,246204,132275,1021022,181102,311499,329166,199255,36106,18353,4273,5369,5333,3378,17753,3358,5121,6160,3114,358500,158676,18563,27471,32542,80100,199824,31278,38031,42342,88173,6621,2891,283,780,1187,641,3730,449,1305,1366,610,298965,149006,45303,43728,36355,23620,149959,38706,39897,41577,29779,201682,98157,14762,24153,32910,26332,103525,13272,22912,38149,29192,8225620,3968148,342402,1117624,1197032,1311090,4257472,316592,1287183,1407525,1246172,2988983,1438445,351763,429283,359433,297966,1550538,334279,434843,424535,356881,3752676,1842092,444087,178535,25318,125057,17312,97865,879340,355188,55950,257610,52605,157987,518665,212617,26426,146526,55163,77933,1910584,579412,161233,77548,130928,74831,134872,940053,216442,134302,212236,187619,189454,391119,62047,51756,37705,157767,81844,3983251,152988,190428,123082,191820,294056,298565,24825,394325,939166,564877,141511,179203,127439,144954,216012,3752676,1186062,371300,910062,545297,739955,3136207,979375,288041,764281,476059,628451,331530,91323,44221,81045,47489,67452,6492,2262,827,1439,864,1100,168273,76316,26746,34298,10176,20737,1251,447,201,157,198,248,53399,16634,5949,15443,5339,10034,55524,19705,5315,13399,5172,11933,2557262,787991,230324,601549,402533,534865,654847,215566,65840,183393,81371,108677
40,FL,12,,,,,040C0US12,Florida -- In metropolitan statistical area,15045933,7233039,876969,21811,139296,290728,302868,64648,53718,3900,1192136,52143,108568,358280,260895,122653,213122,76475,1152996,55774,94321,340001,227190,114256,213654,107800,2436860,107650,193109,730456,490794,215326,438973,260552,1574078,124543,125736,418300,304751,89042,280939,230767,7812894,841888,12500,101003,221096,329810,91996,78407,7076,1188277,32897,72496,277579,267853,152330,273077,112045,1187126,39744,70195,288920,247660,150332,252116,138159,2644808,105291,168061,770880,576253,296585,471071,256667,1950795,178247,179187,705178,380788,121065,231552,154778,13327076,6356070,89459,50749,96161,103741,107964,128996,137971,146803,1847037,384754,898876,541277,1146688,418325,167588,89681,6971006,99681,50692,102679,103127,91877,117554,132748,147760,2042557,468925,1003629,720312,1227816,496634,102808,62207,13327076,189140,3106,2365,8263,18100,36160,33447,48417,150423,63276,143592,199841,246550,270719,294563,3347433,542161,853679,1902505,1261589,2374504,914959,270396,151888,10578041,5084414,606781,1445258,1474824,1557551,5493627,582540,1630041,1739113,1541933,1859354,850877,174549,301920,243159,131249,1008477,178456,306747,325643,197631,34750,17708,4095,5138,5134,3341,17042,3166,4985,5856,3035,356583,157986,18496,27355,32364,79771,198597,31149,37665,42069,87714,6534,2880,283,777,1179,641,3654,430,1265,1356,603,293076,145733,43247,43001,35895,23590,147343,37215,39263,41184,29681,198738,96472,14393,23588,32352,26139,102266,13162,22591,37645,28868,8053398,3881334,329324,1085093,1172729,1294188,4172064,306410,1256603,1379463,1229588,2944552,1412821,337884,422622,355690,296625,1531731,326291,429820,420856,354764,3711747,1822282,440339,177173,25130,124140,16928,96968,870237,351051,55397,255883,51758,156148,511706,209502,25973,145071,54365,76795,1889465,573907,159562,76916,129958,73636,133835,929228,213787,132367,210491,184829,187754,386330,61269,51062,37280,155923,80796,3939784,151732,187412,121431,189757,290597,295681,24489,389544,931563,556717,140124,176937,126120,143903,213777,3711747,1172344,366845,902823,537439,732296,3099484,967011,284251,757710,469069,621443,328880,90585,43929,80644,46751,66971,6376,2259,815,1367,846,1089,167485,76053,26434,34204,10145,20649,1244,440,201,157,198,248,53271,16604,5949,15394,5293,10031,55007,19392,5266,13347,5137,11865,2523776,776775,226862,595602,396233,528304,651389,214323,65502,182727,80640,108197
40,FL,12,,,,,040C1US12,Florida -- In metropolitan statistical area -- in principal city,4168774,2007105,273632,6212,40313,81385,103244,20092,20714,1672,371571,14398,31393,106261,80484,35603,73420,30012,322582,14755,25675,93205,60879,31457,61474,35137,646493,30482,53965,192726,129345,53987,115224,70764,392827,34597,30044,97018,75177,22007,72052,61932,2161669,275389,3177,30567,65799,116672,28192,28476,2506,372915,9278,22856,85256,79602,44852,90383,40688,321725,11401,20049,79347,65574,39917,66237,39200,692455,30428,46052,199477,150943,74454,122514,68587,499185,48716,47662,172329,97526,30177,61929,40846,3619753,1733473,24672,13495,27968,28097,28692,36824,37994,37567,489210,104125,241760,143054,322170,119553,51488,26804,1886280,28535,14614,28646,28028,24044,34355,39178,39042,536409,124284,269361,189400,341063,138646,31362,19313,3619753,53207,742,916,2277,5497,9085,9592,13492,43122,16980,39145,52736,71179,77172,76609,884430,141189,228409,511121,332454,663233,258199,82850,46117,2706177,1316221,149831,350873,374477,441040,1389956,144709,390923,430138,424186,663220,296895,64367,108418,84917,39193,366325,68706,116257,117546,63816,9648,4941,1251,1213,1495,982,4707,877,1293,1947,590,100448,45651,4785,8084,8924,23858,54797,8474,10060,11380,24883,1710,816,81,252,335,148,894,152,279,294,169,81321,40935,10920,13298,9776,6941,40386,9471,11262,10985,8668,57229,28014,4074,7072,9015,7853,29215,4053,6335,10755,8072,2107581,1025680,76009,265390,306077,378204,1081901,73533,302167,352591,353610,715747,349843,89724,104831,83170,72118,365904,84712,104880,93646,82666,1050399,520015,151343,62266,7157,41872,4818,35230,234688,93072,14902,67878,13522,45314,133984,53297,6562,37726,14692,21707,530384,184257,55818,22021,39590,19839,46989,243352,58660,31978,53626,45163,53925,102775,16320,12961,9681,40799,23014,1118424,44638,54751,33621,54731,93365,77149,8750,101747,258824,143321,44910,54934,41638,46446,59599,1050399,339433,95581,250373,138833,226179,865226,274656,74319,208365,117418,190468,103009,29325,11599,23947,15790,22348,1572,568,228,350,170,256,48741,23945,6569,9379,2546,6302,317,125,70,21,79,22,15609,4960,1676,4501,1364,3108,15925,5854,1120,3810,1466,3675,731814,229368,61905,171253,102293,166995,154784,52123,14483,42674,17319,28185
40,FL,12,,,,,040C2US12,Florida -- In metropolitan statistical area -- not in principal city,10877159,5225934,603337,15599,98983,209343,199624,44556,33004,2228,820565,37745,77175,252019,180411,87050,139702,46463,830414,41019,68646,246796,166311,82799,152180,72663,1790367,77168,139144,537730,361449,161339,323749,189788,1181251,89946,95692,321282,229574,67035,208887,168835,5651225,566499,9323,70436,155297,213138,63804,49931,4570,815362,23619,49640,192323,188251,107478,182694,71357,865401,28343,50146,209573,182086,110415,185879,98959,1952353,74863,122009,571403,425310,222131,348557,188080,1451610,129531,131525,532849,283262,90888,169623,113932,9707323,4622597,64787,37254,68193,75644,79272,92172,99977,109236,1357827,280629,657116,398223,824518,298772,116100,62877,5084726,71146,36078,74033,75099,67833,83199,93570,108718,1506148,344641,734268,530912,886753,357988,71446,42894,9707323,135933,2364,1449,5986,12603,27075,23855,34925,107301,46296,104447,147105,175371,193547,217954,2463003,400972,625270,1391384,929135,1711271,656760,187546,105771,7871864,3768193,456950,1094385,1100347,1116511,4103671,437831,1239118,1308975,1117747,1196134,553982,110182,193502,158242,92056,642152,109750,190490,208097,133815,25102,12767,2844,3925,3639,2359,12335,2289,3692,3909,2445,256135,112335,13711,19271,23440,55913,143800,22675,27605,30689,62831,4824,2064,202,525,844,493,2760,278,986,1062,434,211755,104798,32327,29703,26119,16649,106957,27744,28001,30199,21013,141509,68458,10319,16516,23337,18286,73051,9109,16256,26890,20796,5945817,2855654,253315,819703,866652,915984,3090163,232877,954436,1026872,875978,2228805,1062978,248160,317791,272520,224507,1165827,241579,324940,327210,272098,2661348,1302267,288996,114907,17973,82268,12110,61738,635549,257979,40495,188005,38236,110834,377722,156205,19411,107345,39673,55088,1359081,389650,103744,54895,90368,53797,86846,685876,155127,100389,156865,139666,133829,283555,44949,38101,27599,115124,57782,2821360,107094,132661,87810,135026,197232,218532,15739,287797,672739,413396,95214,122003,84482,97457,154178,2661348,832911,271264,652450,398606,506117,2234258,692355,209932,549345,351651,430975,225871,61260,32330,56697,30961,44623,4804,1691,587,1017,676,833,118744,52108,19865,24825,7599,14347,927,315,131,136,119,226,37662,11644,4273,10893,3929,6923,39082,13538,4146,9537,3671,8190,1791962,547407,164957,424349,293940,361309,496605,162200,51019,140053,63321,80012
40,FL,12,,,,,040E0US12,Florida -- In micropolitan statistical area,279701,147085,17699,1449,4741,6678,3702,867,236,26,24446,3234,3898,9389,4407,1494,1533,491,23236,3452,3131,8601,3824,1184,2541,503,50750,5208,5664,18805,10040,3250,4691,3092,30954,3306,3192,9855,5979,1663,3508,3451,132616,13161,268,2006,5210,4047,1202,428,0,19693,1491,1844,5831,4898,1873,2790,966,19656,1876,1519,6398,4255,2058,2428,1122,47855,3592,3762,16164,10773,4540,5522,3502,32251,3002,4030,12723,6000,1707,2726,2063,248841,129386,2949,2274,4974,5003,4485,4249,4587,2564,46650,7843,16407,7591,12273,4599,1778,1160,119455,2266,1816,2703,3176,2708,3130,3501,1816,41116,8820,17106,10178,13466,5744,1295,614,248841,5215,68,107,290,618,1575,1432,1380,6297,2739,5440,7193,7379,8088,4380,70391,17375,16663,33513,17769,25739,10343,3073,1774,209337,108316,24397,38331,27393,18195,101021,16529,34867,31097,18528,27311,14766,4018,6677,3045,1026,12545,2646,4752,3523,1624,1356,645,178,231,199,37,711,192,136,304,79,1917,690,67,116,178,329,1227,129,366,273,459,87,11,0,3,8,0,76,19,40,10,7,5889,3273,2056,727,460,30,2616,1491,634,393,98,2944,1685,369,565,558,193,1259,110,321,504,324,172222,86814,13078,32531,24303,16902,85408,10182,30580,28062,16584,44431,25624,13879,6661,3743,1341,18807,7988,5023,3679,2117,40929,19810,3748,1362,188,917,384,897,9103,4137,553,1727,847,1839,6959,3115,453,1455,798,1138,21119,5505,1671,632,970,1195,1037,10825,2655,1935,1745,2790,1700,4789,778,694,425,1844,1048,43467,1256,3016,1651,2063,3459,2884,336,4781,7603,8160,1387,2266,1319,1051,2235,40929,13718,4455,7239,7858,7659,36723,12364,3790,6571,6990,7008,2650,738,292,401,738,481,116,3,12,72,18,11,788,263,312,94,31,88,7,7,0,0,0,0,128,30,0,49,46,3,517,313,49,52,35,68,33486,11216,3462,5947,6300,6561,3458,1243,338,666,731,480
40,FL,12,,,,,040E1US12,Florida -- In micropolitan statistical area -- in principal city,56850,27920,3540,187,820,1075,1121,314,23,0,5209,364,654,1982,1054,441,474,240,5051,439,306,1893,939,293,970,211,9198,908,741,3001,1882,646,1306,714,4922,708,420,1419,747,295,641,692,28930,3075,46,413,1209,1000,222,185,0,4980,287,381,1076,1650,493,768,325,4890,312,333,1507,997,683,675,383,9955,824,749,3278,2014,953,1329,808,6030,797,726,1915,1236,236,684,436,50235,24380,490,366,700,863,580,704,584,253,8295,1619,3003,1675,3391,1208,442,207,25855,569,334,448,869,494,713,665,317,7776,1871,4026,2365,3456,1549,269,134,50235,1059,0,0,26,26,314,334,421,727,410,1322,1074,1417,1249,570,13355,2716,3490,7029,4040,6847,2757,711,341,37800,18942,3120,6088,5050,4684,18858,2708,5398,6250,4502,9821,4240,972,1886,969,413,5581,1118,2086,1712,665,261,200,11,127,62,0,61,0,36,17,8,477,194,0,13,53,128,283,0,103,22,158,18,8,0,0,8,0,10,0,0,10,0,1278,542,385,121,29,7,736,583,85,68,0,580,254,52,60,126,16,326,0,68,183,75,30108,14995,1247,4984,4507,4257,15113,1480,4396,5134,4103,9199,4629,2290,1236,676,427,4570,1811,1115,1234,410,10656,5248,1538,429,89,376,339,305,2377,1020,136,489,138,594,1333,610,57,244,124,298,5408,1619,406,126,300,399,388,2669,680,418,328,694,549,1120,95,129,131,487,278,11279,264,531,382,552,1093,581,43,975,1991,2275,573,695,400,375,549,10656,3240,955,1868,2181,2412,9186,2806,683,1722,1862,2113,1078,323,89,129,307,230,8,0,0,0,0,8,286,75,158,6,12,35,0,0,0,0,0,0,7,7,0,0,0,0,91,29,25,11,0,26,8360,2613,608,1502,1676,1961,837,193,75,231,186,152
40,FL,12,,,,,040E2US12,Florida -- In micropolitan statistical area -- not in principal city,222851,119165,14159,1262,3921,5603,2581,553,213,26,19237,2870,3244,7407,3353,1053,1059,251,18185,3013,2825,6708,2885,891,1571,292,41552,4300,4923,15804,8158,2604,3385,2378,26032,2598,2772,8436,5232,1368,2867,2759,103686,10086,222,1593,4001,3047,980,243,0,14713,1204,1463,4755,3248,1380,2022,641,14766,1564,1186,4891,3258,1375,1753,739,37900,2768,3013,12886,8759,3587,4193,2694,26221,2205,3304,10808,4764,1471,2042,1627,198606,105006,2459,1908,4274,4140,3905,3545,4003,2311,38355,6224,13404,5916,8882,3391,1336,953,93600,1697,1482,2255,2307,2214,2417,2836,1499,33340,6949,13080,7813,10010,4195,1026,480,198606,4156,68,107,264,592,1261,1098,959,5570,2329,4118,6119,5962,6839,3810,57036,14659,13173,26484,13729,18892,7586,2362,1433,171537,89374,21277,32243,22343,13511,82163,13821,29469,24847,14026,17490,10526,3046,4791,2076,613,6964,1528,2666,1811,959,1095,445,167,104,137,37,650,192,100,287,71,1440,496,67,103,125,201,944,129,263,251,301,69,3,0,3,0,0,66,19,40,0,7,4611,2731,1671,606,431,23,1880,908,549,325,98,2364,1431,317,505,432,177,933,110,253,321,249,142114,71819,11831,27547,19796,12645,70295,8702,26184,22928,12481,35232,20995,11589,5425,3067,914,14237,6177,3908,2445,1707,30273,14562,2210,933,99,541,45,592,6726,3117,417,1238,709,1245,5626,2505,396,1211,674,840,15711,3886,1265,506,670,796,649,8156,1975,1517,1417,2096,1151,3669,683,565,294,1357,770,32188,992,2485,1269,1511,2366,2303,293,3806,5612,5885,814,1571,919,676,1686,30273,10478,3500,5371,5677,5247,27537,9558,3107,4849,5128,4895,1572,415,203,272,431,251,108,3,12,72,18,3,502,188,154,88,19,53,7,7,0,0,0,0,121,23,0,49,46,3,426,284,24,41,35,42,25126,8603,2854,4445,4624,4600,2621,1050,263,435,545,328
